sno,Food_description,Energy_kc,Protein_per_wt,Total_fat_per_wt,Carbohydrate_per_wt,Fiber_per_wt,Calcium_per_wt,Copper_per_wt,Iron_per_wt,Magnesium_per_wt,Potassium_per_wt,Zinc_per_wt,Vitamin_A_(IU)_per_wt,Vitamin_D_per_wt,Thiamin_per_wt,Riboflavin_per_wt,Vit_B6_per_wt(Pyridoxine),Vitamin_B12_per_wt,"Folate_per_wt  ",Niacin_per_wt,Pantothenic_acid_per_wt,Vitamin_C_per_wt,Vitamin_E_per_wt,Vitamin_K_per_wt,Fa_sat_per_wt,Monounsaturated_per_wt,Fa_poly_per_wt,Total_Sugar
,,(Calories),gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(IU)_per_100_gm,IU_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,(mcg)_per_100_gm,mg_per_100_gm,Mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm
17030,"LAMB,DOM,RIB,LN&FAT,1_per_4""FAT,CHOIC,CKD,BRLD",361,22.13,29.59,0,0,19,0.121,1.88,23,270,4,0,0,0.09,0.22,0.11,2.54,14,7,0.61,0,0.12,0,12.7,12.12,1.74,0
17031,"LAMB,DOM,RIB,LN&FAT,1_per_4""FAT,CHOIC,CKD,RSTD",359,21.12,29.82,0,0,22,0.115,1.6,20,271,3.49,0,0,0.09,0.21,0.11,2.23,15,6.75,0.63,0,0.1,0,12.77,12.52,1.63,0
17032,"LAMB,DOM,RIB,LN,1_per_4""FAT,CHOIC,RAW",169,19.98,9.23,0,0,12,0.111,1.67,25,265,3.8,0,0,0.12,0.2,0.16,2.38,21,5.89,0.65,0,0.19,0,3.3,3.71,0.63,0
17033,"LAMB,DOM,RIB,LN,1_per_4""FAT,CHOIC,CKD,BRLD",235,27.74,12.95,0,0,16,0.139,2.21,29,313,5.27,0,0,0.1,0.25,0.15,2.64,21,6.55,0.63,0,0.18,0,4.65,5.21,0.89,0
17034,"LAMB,DOM,RIB,LN,1_per_4""FAT,CHOIC,CKD,RSTD",232,26.16,13.31,0,0,21,0.129,1.77,23,315,4.47,0,0,0.09,0.23,0.15,2.16,22,6.16,0.66,0,0.15,0,4.76,5.83,0.71,0
17035,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1_per_4""FAT,CHOIC,RAW",264,16.58,21.45,0,0,16,0.097,1.5,21,230,3.94,0,0,0.11,0.21,0.13,2.53,19,5.66,0.68,0,0.22,0,9.28,8.79,1.25,0
17036,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1_per_4""FAT,CHOIC,CKD,BRSD",344,28.68,24.55,0,0,25,0.123,2.4,24,248,6.37,0,0,0.07,0.22,0.1,2.8,17,6.33,0.61,0,0.16,0,10.34,10.04,1.47,0
17037,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1_per_4""FAT,CHOIC,CKD,BRLD",278,24.42,19.26,0,0,21,0.128,2.03,26,301,5.72,0,0,0.09,0.26,0.12,2.97,19,6.45,0.67,0,0.16,0,8.04,7.87,1.16,0
17038,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1_per_4""FAT,CHOIC,CKD,RSTD",276,22.51,19.97,0,0,20,0.108,1.97,23,251,5.23,0,0,0.09,0.24,0.13,2.64,21,6.15,0.7,0,0.14,0,8.44,8.17,1.19,0
17039,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1_per_4""FAT,CHOIC,RAW",144,19.55,6.76,0,0,15,0.109,1.66,24,274,4.77,0,0,0.12,0.22,0.16,2.78,23,5.45,0.71,0,0.22,0,2.42,2.72,0.46,0
17040,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1_per_4""FAT,CHOIC,CKD,BRSD",283,32.81,15.89,0,0,26,0.132,2.67,27,261,7.52,0,0,0.06,0.23,0.12,2.91,21,5.96,0.62,0,0.2,0,6.17,6.45,1.02,0
17041,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1_per_4""FAT,CHOIC,CKD,BRLD",210,27.12,10.5,0,0,21,0.137,2.19,29,324,6.6,0,0,0.1,0.28,0.14,3.11,23,6.15,0.69,0,0.2,0,3.88,4.24,0.7,0
17042,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1_per_4""FAT,CHOIC,CKD,RSTD",204,24.94,10.77,0,0,19,0.113,2.13,25,265,6.04,0,0,0.09,0.26,0.15,2.7,25,5.76,0.73,0,0.18,0,4.08,4.36,0.71,0
17043,"LAMB,DOM,SHLDR,ARM,LN&FAT,1_per_4""FAT,CHOIC,RAW",260,16.79,20.9,0,0,14,0.102,1.56,21,238,3.43,0,0,0.11,0.22,0.13,2.44,19,6.09,0.69,0,0.21,0,9.15,8.58,1.2,0
17044,"LAMB,DOM,SHLDR,ARM,LN&FAT,1_per_4""FAT,CHOIC,CKD,BRSD",346,30.39,24,0,0,25,0.139,2.39,26,306,6.08,0,0,0.07,0.25,0.11,2.58,18,6.66,0.61,0,0.15,0,9.87,10.18,1.3,0
17045,"LAMB,DOM,SHLDR,ARM,LN&FAT,1_per_4""FAT,CHOIC,CKD,BRLD",281,24.44,19.55,0,0,18,0.133,2.09,26,309,4.89,0,0,0.1,0.27,0.12,2.86,18,7.02,0.68,0,0.13,0,8.37,8.01,1.15,0
17046,"LAMB,DOM,SHLDR,ARM,LN&FAT,1_per_4""FAT,CHOIC,CKD,RSTD",279,22.53,20.24,0,0,18,0.113,2.03,23,259,4.48,0,0,0.09,0.25,0.12,2.55,20,6.66,0.71,0,0.14,0,8.74,8.3,1.18,0
17047,"LAMB,DOM,SHLDR,ARM,LN,1_per_4""FAT,CHOIC,RAW",132,19.99,5.2,0,0,12,0.116,1.74,25,287,4.15,0,0,0.12,0.23,0.15,2.67,24,6,0.72,0,0.22,0,1.86,2.09,0.36,0
17048,"LAMB,DOM,SHLDR,ARM,LN,1_per_4""FAT,CHOIC,CKD,BRSD",279,35.54,14.08,0,0,26,0.154,2.7,29,338,7.3,0,0,0.07,0.27,0.13,2.65,22,6.33,0.62,0,0.18,0,5.03,6.17,0.75,0
17049,"LAMB,DOM,SHLDR,ARM,LN,1_per_4""FAT,CHOIC,CKD,BRLD",200,27.71,9.02,0,0,17,0.145,2.31,30,340,5.73,0,0,0.1,0.29,0.14,3,23,6.81,0.71,0,0.2,0,3.42,3.65,0.59,0
