sno,Food_description,Energy_kc,Protein_per_wt,Total_fat_per_wt,Carbohydrate_per_wt,Fiber_per_wt,Calcium_per_wt,Copper_per_wt,Iron_per_wt,Magnesium_per_wt,Potassium_per_wt,Zinc_per_wt,Vitamin_A_(IU)_per_wt,Vitamin_D_per_wt,Thiamin_per_wt,Riboflavin_per_wt,Vit_B6_per_wt(Pyridoxine),Vitamin_B12_per_wt,"Folate_per_wt  ",Niacin_per_wt,Pantothenic_acid_per_wt,Vitamin_C_per_wt,Vitamin_E_per_wt,Vitamin_K_per_wt,Fa_sat_per_wt,Monounsaturated_per_wt,Fa_poly_per_wt,Total_Sugar
,,(Calories),gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(IU)_per_100_gm,IU_per_100_gm,mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,(mcg)_per_100_gm,mg_per_100_gm,Mg_per_100_gm,mg_per_100_gm,mg_per_100_gm,(mcg)_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm,gm_per_100_gm
08158,"CEREALS,CORN GRITS,WHITE,REG,QUICK,UNENR,DRY,(CORN)",371,8.8,1.2,79.6,1.6,2,0.075,1,27,137,0.41,0,0,0.13,0.04,0.147,0,5,1.2,0.485,0,0.26,0,0.16,0.29,0.49,0
08159,"CEREALS,CORN GRITS,YEL,REG,QUICK,ENR,DRY,(CORN)",371,8.8,1.2,79.6,1.6,2,0.075,3.91,27,137,0.41,440,0,0.64,0.38,0.147,0,187,4.96,0.485,0,0.26,0,0.16,0.29,0.49,0
08160,"CEREALS,CORN GRITS,YEL,REG,QUICK,UNENR,DRY,(CORN)",371,8.8,1.2,79.6,1.6,2,0.075,1,27,137,0.41,440,0,0.13,0.04,0.147,0,5,1.2,0.485,0,0.26,0,0.16,0.29,0.49,0
08161,"CEREALS,CORN GRITS,WHITE,REG,QUICK,ENR,CKD W_per_H2O,W_per_SALT",60,1.4,0.2,13,0.2,0,0.012,0.64,4,22,0.07,0,0,0.1,0.06,0.024,0,31,0.81,0.064,0,0.05,0,0.03,0.05,0.08,0
08162,"CEREALS,CORN GRITS,WHITE,REG,QUICK,UNENR,CKD W_per_H2O,WO_per_SALT",60,1.4,0.2,13,0.2,0,0.012,0.2,4,22,0.07,0,0,0.02,0.01,0.024,0,1,0.2,0.064,0,0.05,0,0.03,0.05,0.08,0
08163,"CEREALS,CORN GRITS,WHITE,REG,QUICK,UNENR,CKD W_per_H2O,W_per_SALT",60,1.4,0.2,13,0.2,0,0.012,0.2,4,22,0.07,0,0,0.02,0.01,0.024,0,1,0.2,0.064,0,0.05,0,0.03,0.05,0.08,0
08164,"CEREALS,CORN GRITS,YEL,REG,QUICK,ENR,CKD W_per_H2O,WO_per_SALT",60,1.4,0.2,13,0.2,0,0.012,0.64,4,22,0.07,60,0,0.1,0.06,0.024,0,31,0.81,0.064,0,0.05,0,0.03,0.05,0.08,0
08165,"CEREALS,CORN GRITS,YEL,REG,QUICK,ENR,CKD W_per_H2O,W_per_SALT,(CORN)",60,1.4,0.2,13,0.2,0,0.012,0.64,4,22,0.07,60,0,0.1,0.06,0.024,0,31,0.81,0.064,0,0.05,0,0.03,0.05,0.08,0
08166,"CEREALS,CORN GRITS,YEL,REG,QUICK,UNENR,CKD W_per_H2O,WO_per_SALT",60,1.4,0.2,13,0.2,0,0.012,0.2,4,22,0.07,60,0,0.02,0.01,0.024,0,1,0.2,0.064,0,0.05,0,0.03,0.05,0.08,0
08167,"CEREALS,CORN GRITS,YEL,REG,QUICK,UNENR,CKD W_per_H2O,W_per_SALT",60,1.4,0.2,13,0.2,0,0.012,0.2,4,22,0.07,60,0,0.02,0.01,0.024,0,1,0.2,0.064,0,0.05,0,0.03,0.05,0.08,0
08168,"CEREALS,CRM OF RICE,CKD W_per_H2O,W_per_SALT,(RICE)",52,0.9,0.1,11.5,0.1,3,0.034,0.2,3,20,0.16,0,0,0,0,0.027,0,3,0.4,0.076,0,0,0,0.02,0,0,0
08169,"CEREALS,CRM OF WHEAT,REG,CKD W_per_H2O,W_per_SALT,(WHEAT)",53,1.5,0.2,11,0.7,20,0.03,4.1,4,17,0.13,0,0,0.1,0,0.014,0,18,0.6,0.075,0,0,0,0.031,0,0,0
08170,"CEREALS,CRM OF WHEAT,QUICK,CKD W_per_H2O,W_per_SALT,(WHEAT)",54,1.5,0.2,11.2,0.5,21,0.028,4.3,5,19,0.14,0,0,0.1,0,0.012,0,45,0.6,0.071,0,0,0,0.031,0,0,0
08171,"CEREALS,CRM OF WHEAT,INST,PREP W_per_H2O,W_per_SALT,(WHEAT)",64,1.8,0.2,13.1,1.2,25,0.038,5,6,20,0.17,0,0,0.1,0,0.012,0,62,0.7,0.071,0,0,0,0.031,0,0,0
08172,"CEREALS,FARINA,UNENR,DRY,(WHEAT)",369,10.6,0.5,78,1.9,14,0.079,1.5,13,94,0.53,0,0,0.06,0.1,0.058,0,24,0.7,0.416,0,0.11,0,0.08,0.06,0.2,0
08173,"CEREALS,FARINA,ENR,CKD W_per_H2O,W_per_SALT,(WHEAT)",50,1.4,0.1,10.6,1.4,2,0.011,0.5,2,13,0.07,0,0,0.08,0.05,0.01,0,23,0.55,0.056,0,0,0,0.01,0.01,0.03,0
08174,"CEREALS,FARINA,UNENR,CKD W_per_H2O,WO_per_SALT,(WHEAT)",50,1.4,0.1,10.6,1.4,2,0.011,0.02,2,13,0.07,0,0,0.01,0.01,0.01,0,2,0.1,0.056,0,0.013,0,0.01,0.01,0.03,0
08175,"CEREALS,FARINA,UNENR,CKD W_per_H2O,W_per_SALT,(WHEAT)",50,1.4,0.1,10.6,1.4,2,0.011,0.02,2,13,0.07,0,0,0.01,0.01,0.01,0,2,0.1,0.056,0,0,0,0.01,0.01,0.03,0
08176,"CEREALS,MALTEX,CKD W_per_H2O,W_per_SALT (WHEAT)",72,2.3,0.4,15.9,1.2,7,0.135,0.72,23,107,0.75,0,0,0.1,0.04,0.031,0,9,0.96,0.093,0,0,0,0.061,0,0,0
08177,"CEREALS,MALT-O-MEAL,CHOC,DRY,(WHEAT,BARLEY)",368,10.5,0.9,77.7,0,14,0.079,28.6,13,94,0.53,0,0,1.3,0.9,0.058,0,24,17.6,0.416,0,0,0,0,0,0,0
08178,"CEREALS,MALT-O-MEAL,PLN&CHOC,CKD W_per_H2O,W_per_SALT,(WHEAT,BARLEY)",51,1.5,0.1,10.8,0.4,2,0.011,4,2,13,0.07,0,0,0.2,0.1,0.008,0,2,2.4,0.058,0,0,0,0.02,0,0,0
08179,"CEREALS,MAYPO,CKD W_per_H2O,W_per_SALT,(OATS W_per_OTHER GRAINS)",71,2.4,1,13.3,2.4,52,0.066,3.5,21,88,0.62,974,0,0.3,0.3,0.4,1.2,4,3.9,0.141,12,0,0,0.185,0,0,0
08180,"CEREALS,OATS,REG&QUICK&INST,WO_per_FORT,CKD W_per_H2O,W_per_SALT,(OATS)",62,2.6,1,10.8,1.7,8,0.055,0.68,24,56,0.49,16,0,0.11,0.02,0.02,0,4,0.13,0.2,0,0,0,0.18,0.32,0.36,0
08181,"CEREALS,ROMAN MEAL,PLN,CKD W_per_H2O,W_per_SALT",61,2.7,0.4,13.7,3.4,12,0.133,0.88,45,125,0.74,0,0,0.1,0.05,0.047,0,10,1.28,0.154,0,0,0,0.053,0,0,0
08182,"CEREALS,WHEATENA,CKD W_per_H2O,W_per_SALT,(WHEAT)",56,2,0.5,11.8,2.7,4,0.052,0.56,20,77,0.69,0,0,0.01,0.02,0.019,0,7,0.55,0.042,0,0,0,0.09,0,0,0
08183,"CEREALS,WHL WHEAT HOT NAT CRL,CKD W_per_H2O,W_per_SALT,(WHEAT)",62,2,0.4,13.7,1.6,7,0.083,0.62,22,71,0.48,0,0,0.07,0.05,0.073,0,11,0.89,0.167,0,0,0,0.06,0,0,0
08184,"CEREALS,ROMAN MEAL W_per_OATS,CKD W_per_H2O,W_per_SALT",71,3,0.8,14.2,3.4,11,0.062,0.58,31,107,0.81,9,0,0.13,0.09,0.158,0,10,1.36,0.104,0,0,0,0.072,0,0,0
08185,"CEREALS,RALSTON,CKD W_per_H2O,W_per_SALT,(OATS)",53,2.2,0.3,11.2,2.4,5,0.079,0.65,23,61,0.56,0,0,0.08,0.07,0.045,0.043,7,0.81,0.13,0,0,0,0.056,0,0,0
08188,"CEREALS RTE,KELLOGG,KELLOGG'S APPLE-CINNAMON RICE KRISPIES",373,5.1,0.5,89,1.5,7,0.1,6.2,26,103,1.1,2586,0,1.3,1.5,1.7,0,300,17.2,0.927,51.7,0.446,0,0,0,0.186,37.9
08189,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO_per_RAISINS",388,8.4,5.9,80.3,5.9,41,0.2,3.7,85,250,7.7,1531,102,0.8,0.9,1,3.1,200,10.2,0,3,0,0,0.9,1.2,2.647,24.5
08190,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP W_per_APPLS",373,7.88,3.34,84.02,8.1,42,0.24,8.18,82,290,6.82,0,0,0.68,0.77,0.91,0,181,9.09,0.772,16.4,0.783,0,0.69,1.1,0.803,35.17
08194,"CEREALS RTE,GENERAL MILLS,REESE'S PNUT BUTTER PUFFS",431,8.57,10.65,76.6,1.3,70,0.21,15,53,205,12.5,2500,0,1.25,1.42,1.67,0,333,16.67,0.463,50,1.884,0,2.12,4.77,2.963,38.7
08195,"CEREALS RTE,HEALTHY CHOIC,KELLOGG'S ALMOND CRUNCH W_per_RAISINS",360,8.7,4.66,78.6,8.4,49,0.3,10.9,89,360,2.6,862,137.9,0.9,1,1.2,3.6,200,12.1,6,0,5.2,0,0.68,2.26,0.731,28.1
08196,"CEREALS RTE,KELLOGG,POP-TARTS CRUNCH FRSTD STRAWBY",393,4.5,2.7,89.2,0,8,0.1,13.6,32,91,11.4,2273,151.5,1.1,1.3,1.5,0,300,15.2,0,46,0.275,0,1.1,0.8,0.774,51.5
08199,"CEREALS RTE,HEALTHY CHOIC,KELLOGG'S TSTD BROWN SUGAR SQUARES",344,9.5,1.9,81.8,9.3,34,0.2,11.7,108,389,2.8,926,0,1,1.1,1.3,3.9,200,13,6.5,0,5.45,0,0.33,0.28,0.735,16.7
08200,"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,DRY",333,11.3,2.58,73.44,11.96,34,0.44,2.98,115,411,3.2,7,0,0.29,0.13,0.24,0,26,3.57,0.5,0,0.597,0,0.52,0.57,0.952,0
08202,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP W_per_ALMONDS",398,10.58,8.36,76.28,7.9,65,0.33,8.18,104,336,6.82,0,0,0.68,0.77,0.91,0,181,9.09,0.635,16.4,5.716,0,1.03,4.41,2.067,28.15
08203,"CEREALS RTE,GENERAL MILLS,SUN CRUNCHERS",392,8.83,5.74,79.53,4,155,0.29,8.18,79,236,1.45,1363,0,0.68,0.77,0.91,0,181,9.09,0.811,27.3,0.102,0,0.62,3.72,1.789,29.97
08207,"CEREALS RTE,HEALTHY CHOIC FROM KELLOGG'S MULTI-GRAIN FLAKES",346,8.5,1.2,84.1,9.4,29,0.2,21,97,334,5,1667,0,1.8,2,2.3,7,300,23.3,11.7,0,10,0,0.1,0.5,0.566,20.7
08208,"CEREALS RTE,KELLOGG,TEMPTATIONS,FRENCH VANILLA ALMOND",398,7.1,5.5,82.4,2.6,36,0.1,17.3,23,136,0.7,2885,192.3,1.4,1.6,1.9,0,400,19.2,0,57.7,2.76,0,3.5,1.2,0.756,29.2
08209,"CEREALS RTE,KELLOGG,TEMPTATIONS,HONEY RSTD PECAN",408,6,7.5,81.4,2.3,2,0,15.5,9,96,0.4,2586,172.4,1.3,1.5,1.7,0,300,17.2,0,51.7,0.461,0,1.7,3.9,1.566,32.2
08210,"CEREALS RTE,QUAKER,QUAKER OAT CINN LIFE",379,8.71,3.47,80.8,5.9,269,0.22,15.08,83,226,12.57,31,0,1.25,1.42,1.67,0,335,16.76,0.57,0.2,0.45,0,0.65,1.14,1.431,0
08211,"CEREALS RTE,QUAKER,HONEY GRAHAM OH!S",414,5,7.07,84.24,2.6,46,0.16,16.72,47,167,13.93,3717,0,1.39,1.58,1.85,0,372,18.58,0.31,44.6,0.403,0,2.038,3.941,0.952,0
08212,"CEREALS RTE,QUAKER,SUN COUNTRY GRANOLA W_per_ALMONDS",467,11.77,18.02,67.2,5.2,86,0.29,4.35,91,388,2,0,0,0.31,0.18,0.12,0.07,34,0.95,0.57,0.1,2.094,0,2.22,5.84,2.912,0
08213,"CEREALS RTE,QUAKER,SUN COUNTRY GRANOLA,RAISIN&DATE",436,9.74,13.63,72.2,6,77,0.27,4.16,84,428,1.6,0,0,0.28,0.21,0.13,0.2,31,0.83,0.54,0.4,1.557,0,2.07,4.59,2.363,0
08214,"CEREALS RTE,QUAKER,QUAKER OATMEAL SQUARES",386,12.99,4.62,77.35,7.6,64,0.42,28,125,407,7.54,1005,0,0.75,0.85,1,0,201,10.05,0.78,12.1,4.067,0,0.85,1.44,1.734,0
08215,"CEREALS RTE,QUAKER,QUAKER CINN OATMEAL SQUARES",386,12.61,4.28,78.59,7.6,69,0.343,24.25,117,417,6.85,914,0,0.68,0.77,0.91,0,183,9.14,0.71,11,3.698,0,0.84,1.44,1.734,0
08216,"CEREALS RTE,QUAKER,QUAKER OAT BRAN CRL",373,14.98,5.17,72.62,10.5,53,0.31,28,174,451,6.82,910,0,0.68,0.77,0.91,0,182,9.1,0.85,10.9,3.678,0,0.95,1.69,1.976,0
08218,"CEREALS RTE,QUAKER,QUAKER 100% NAT CRL W_per_OATS,HONEY,&RAISINS",428,9.49,14.28,70.25,7.2,76,0.55,3.28,94,419,2.12,7,0,0.28,0.17,0.15,0.1,23,1.51,0.55,0.6,0.99,0,6.26,6.22,1.45,0
08219,"CEREALS RTE,QUAKER,QUAKER TSTD OATMEAL CRL,HONEY NUT",389,9.98,5.53,79.5,6.8,55,0.34,9.18,109,377,8,1021,0,0.76,0.86,1.02,0.03,204,10.2,0.67,12.2,4.107,0,1.06,2.35,1.408,0
08220,"CEREALS RTE,QK,LOFAT 100% NAT CRISPY WHOLEGRAIN W_per_RAISINS",389,8.3,5.33,80.68,6,60,0.3,2.58,79,338,1.84,18,0,0.29,0.11,0.14,0,23,1.82,0.45,0.7,0.55,0,1.5,2.52,0.979,0
08221,"CEREALS,QUAKER,CORN GRITS,INST,BUTTER FLAVOR,DRY",359,8.25,4.84,74.45,4.5,7,0.07,28.93,27,194,0.4,192,0,0.63,0.72,0.12,0,168,8.46,0.41,0,0.73,0,1.02,1,0.843,0.8
08223,"CEREALS,QKR,OATMEAL,INST,POWR RANGRS FRUIT PUNCH FLAVOR,DRY",373,8.87,5.12,76.53,6.4,440,0.21,15.46,87,247,1.99,3182,0,0.88,0.56,1.04,0,270,9.58,0.41,0,0.376,0,0.99,2,1.346,0
08224,"CEREALS,QUAKER,OATMEAL,INST,CINNAMAGIC,DRY",360,9.45,4.89,73.98,7.4,444,0.23,15.72,93,295,2.13,3187,0,0.9,0.57,1.06,0,258,9.62,0.45,0.3,0.403,0,0.92,1.77,1.334,0
08225,"CEREALS,QUAKER,OATMEAL,INST,FRUIT&CRM VAR,DRY",385,8.17,7.18,75.12,6.2,303,0.19,11.42,79,278,1.75,3000,0,0.89,1.02,1.2,0.04,240,12,0.38,0.4,0.329,0,1.56,2.16,1.509,0
08227,"CEREALS,QUAKER,OATMEAL,INST,FRUIT&CRM VAR,PREP W_per_H2O",118,2.51,2.2,23.06,1.9,94,0.062,3.51,25,85,0.56,921,0,0.273,0.313,0.368,0.01,74,3.684,0.117,0.1,0.101,0,0.48,0.663,0.463,0
08228,"CEREALS,QUAKER,OATMEAL,INST,RAISINS,DATES&WALNUTS,DRY",365,8.87,5.5,73.69,6.6,288,0.26,10.82,90,350,1.94,2838,0,0.84,0.96,1.14,0,227,11.35,0.44,0.6,0.413,0,0.94,1.73,1.861,0
08229,"CEREALS,QUAKER,OATMEAL,INST,LO NA,DRY",368,14.22,7.09,66.07,9,383,0.3,29.4,134,374,3,3750,0,1.11,1.27,1.5,0,301,15.01,0.62,0,0.577,0,1.35,2.57,2.615,0
08230,"CEREALS,QUAKER,FARINA,CREAMY WHEAT,ENR,DRY",349,10.82,0.95,76.13,2.9,12,0.12,30,17,98,0.61,0,0,0.44,0.26,0.05,0,154,3.52,0.43,0,0.14,0,0.24,0.08,0,0.3
08231,"CEREALS,QUAKER,OAT BRAN,QUAKER_per_MOTHER'S OAT BRAN,DRY",364,17.03,7.97,62.94,14.3,79,0.3,8.07,241,579,4.2,100,0,0.97,0.3,0.11,0,38,0.8,0.85,0,0.389,0,1.43,2.61,2.811,0
08232,"CEREALS,QUAKER,SCOTCH BARLEY,REG&QUICK,DRY",346,10.74,2.24,76.38,10.4,28,0.38,1.99,60,261,1.46,22,0,0.25,0.09,0.26,0,23,4.52,0.28,0,0.235,0,0.47,0.2,0.91,0
08233,"CEREALS,QKR,OATMEAL,INST,POWER RANGERS FRUIT,PREP W_per_H2O",94,2.24,1.29,19.31,1.6,112,0.057,3.91,23,62,0.52,803,0,0.222,0.141,0.262,0,68,2.418,0.103,0,0.095,0,0.25,0.505,0.34,0
08234,"CEREALS,QUAKER,OATMEAL,INST,LO NA,PREP W_per_H2O",93,3.59,1.79,16.67,2.3,98,0.08,7.43,35,94,0.78,946,0,0.28,0.321,0.379,0,76,3.788,0.156,0,0.146,0,0.341,0.649,0.66,0
08235,"CEREALS,QUAKER,OATMEAL,INST,RAISINS,DATES&WALNUTS,PREP W_per_H2O",116,2.83,1.75,23.5,2.1,93,0.087,3.46,29,112,0.64,905,0,0.268,0.306,0.364,0,72,3.62,0.14,0.2,0.132,0,0.3,0.552,0.594,0
08236,"CEREALS,QKR,OAT BRAN,PREP W_per_H2O,NO SALT",43,2.03,0.95,7.49,1.7,11,0.041,0.97,30,69,0.53,12,0,0.115,0.036,0.013,0,5,0.096,0.101,0,0.046,0,0.17,0.31,0.334,0
08237,"CEREALS,QUAKER,CREAMY WHEAT,FARINA,ENR,PREP W_per_H2O,NO SALT",51,1.53,0.07,11.26,0.4,4,0.015,4.73,3,14,0.1,0,0,0.069,0.048,0.007,0,23,0.778,0.053,0,0.014,0,0.01,0.04,0.019,0
08238,"CEREALS,QUAKER,CORN GRITS,INST,BUTTER FLAVOR,PREP W_per_H2O",69,1.58,0.93,14.23,0.9,3,0.018,5.63,6,37,0.1,37,0,0.103,0.057,0.023,0,32,0.95,0.078,0,0.094,0,0.19,0.191,0.161,0
08240,"CEREALS,OAT BRAN,QKR,QKR_per_MOTHER'S OAT BRAN,PREP W_per_H2O,SALT",43,2.03,0.95,7.49,1.7,11,0.041,0.97,30,69,0.53,12,0,0.115,0.036,0.013,0,5,0.095,0.101,0,0.046,0,0.17,0.31,0.334,0
08241,"CEREALS,QUAKER,CREAMY WHEAT,FARINA,ENR,PREP W_per_H2O,SALT",51,1.53,0.07,11.24,0.4,4,0.015,4.72,3,14,0.1,0,0,0.069,0.048,0.007,0,23,0.777,0.053,0,0.014,0,0.01,0.04,0.019,0
08242,"CEREALS RTE,KELLOGG,KELLOGG'S JUST RIGHT W_per_CRUNCHY NUGGETS",371,7.7,2.7,83.7,5.1,26,0.1,29.5,62,220,1.6,2273,0,0.7,0.8,0.9,2.7,186,9.1,0,0,4.07,0,0.2,0.5,1.749,21.2
08243,"CEREALS RTE,GENERAL MILLS,HONEY NUT CLUSTERS",387,9.9,6.33,78.9,7.7,130,0.3,8.18,94,310,1.9,0,0,0.68,0.77,0.91,0,182,9.1,1.147,16.4,5.381,0,0.721,3.23,0.658,26.4
08244,"CEREALS RTE,GENERAL MILLS,FIBER ONE",205,9.26,2.81,80.02,47.5,195,0.63,15,227,723,4.13,0,0,1.25,1.42,1.67,0,333,16.67,1.111,30,1.107,0,0.44,0.46,0.187,1.91
08245,"CEREALS RTE,GENERAL MILLS,OATMEAL RAISIN CRISP",371,7.91,4.45,79.46,6.4,69,0.33,8.18,81,385,6.82,1364,0,0.68,0.77,0.91,0,182,9.1,0.619,0,2.464,0,0.7,2.1,0.628,34.44
08246,"CEREALS RTE,GENERAL MILLS,TOTAL CORN FLAKES",373,6.05,1.61,85.55,2.5,790,0,60,26,113,50,4167,0,5,5.67,6.67,27.1,1333,67,39.25,200,100,0,0.52,0.26,0.076,0
08247,"CEREALS RTE,GENERAL MILLS,TOTAL RAISIN BRAN",324,7.27,1.83,77.73,9.1,433,0.34,32.73,81,522,27.27,2273,0,2.73,3.09,3.64,11.55,727,36.4,17.61,0,54.5,0,0.42,0.31,0.283,33.99
08248,"CEREALS RTE,GENERAL MILLS,TRIPLES",387,7.93,3.37,83.28,2.8,137,1.65,27,23,102,12.5,4167,0,1.25,1.42,1.67,0,333,16.67,0.665,50,0.47,0,0.97,0.9,0.093,20.36
08249,"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,PREP W_per_H2O,NO SALT",61,2.08,0.47,13.49,2.2,8,0.086,0.56,22,75,0.61,1,0,0.053,0.024,0.044,0,5,0.656,0.092,0,0.11,0,0.096,0.105,0.175,0
08250,"CEREALS,QUAKER,OATMEAL,INST,CINNAMAGIC,PREP W_per_H2O",91,2.38,1.23,18.67,1.9,114,0.063,3.97,24,74,0.56,804,0,0.227,0.144,0.268,0,65,2.428,0.114,0.1,0.102,0,0.23,0.447,0.337,0
08252,"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,PREP W_per_H2O,SALT",61,2.07,0.47,13.47,2.2,8,0.086,0.56,22,75,0.61,1,0,0.053,0.024,0.044,0,5,0.655,0.092,0,0.109,0,0.095,0.105,0.175,0
08253,"CEREALS,RTE,KELLOGG,KELLOGG'S ALL-BRAN W_per_EX FIBER",176,12.3,3.1,75.6,51.1,385,1,17.3,399,1000,14.4,2885,0,1.4,1.6,1.9,5.8,400,19.2,1.591,57.7,2.139,0,0.563,0.596,1.798,1.6
08254,"CEREALS RTE,KELLOGG,KELLOGG'S APPL CINN SQUARES MINI-WHEATS",331,7.2,1.8,80.1,8.6,38,0.2,29.5,88,302,2.7,0,0,0.7,0.8,0.9,2.7,200,9.1,0.641,0,1.074,0,0.4,0.5,0.953,21.2
08255,"CEREALS RTE,KELLOGG,KELLOGG'S APPL RAISIN CRISP",336,6.3,0.9,84.9,8,27,0.1,3.4,18,155,2.8,1415,0,0.7,0.8,0.9,2.8,200,9.4,0.676,0,0.831,0,0.2,0.3,0.402,28.3
08257,"CEREALS RTE,KELLOGG,KELLOGG'S CINN MINI BUNS",384,4.9,2.1,88.7,2.2,13,0.1,15,37,122,12.5,2500,0,1.3,1.4,1.7,0,300,16.7,0.322,50,0.178,0,0.5,0.6,1.084,40
08258,"CEREALS RTE,KELLOGG,KELLOGG'S COMMON SENSE OAT BRAN FLAKES",363,12.9,4,77.4,13.2,49,0.3,28,159,400,12.5,2500,0,1.3,1.4,1.7,5,300,16.7,1.056,0,1.233,0,1.2,1.9,1.666,21.1
08259,"CEREALS RTE,KELLOGG,KELLOGG'S CRISPIX",374,7.4,1,86.2,2.2,12,0.2,6.2,24,121,5.2,2586,0,1.3,1.5,1.7,0,300,17.2,0.924,51.7,0.411,0,0.3,0.2,0.406,10.3
08260,"CEREALS RTE,KELLOGG,KELLOGG'S BLUEBY SQUARES MINI-WHEATS",330,7.6,1.8,79.6,8.8,35,0.2,30,93,333,2.8,0,0,0.7,0.8,0.9,2.8,200,9.3,0.614,0,1.544,0,0.4,0.4,0.748,20.5
08261,"CEREALS RTE,GENERAL MILLS,RAISIN NUT BRAN",380,9.39,8,75.37,9.2,134,0.41,8.18,98,397,2.01,0,0,0.68,0.77,0.91,0,181,9.09,0.613,0,3.695,0,1.3,3.5,1.149,29.07
08262,"CEREALS RTE,GENERAL MILLS,BASIC 4",365,7.6,5.16,76.3,6.1,563,0.3,8.18,73,294,6.82,2272,0,0.68,0.77,0.91,0,181,9.09,0.531,27.2,1.229,0,0.77,1.8,0.795,22.8
08263,"CEREALS RTE,GENERAL MILLS,APPL CINN CHEERIOS",393,6.2,5.44,83.5,5.3,118,0.2,15,67,200,12.5,2500,0,1.25,1.42,1.67,0,333,16.67,0.515,50,0.988,0,1,2.14,0.966,43.8
08264,"CEREALS RTE,GENERAL MILLS,S'MORES GRAHAMS",390,5.59,4,85.3,2.8,48,0.2,15,36,160,12.5,2500,0,1.25,1.42,1.67,0,333,16.67,0.329,50,0.726,0,0.59,1.31,0.587,41.4
08265,"CEREALS RTE,GENERAL MILLS,MULTIGRAIN CHEERIOS",373,8.52,3.63,81.5,6.4,190,0.24,27,99,324,12.5,2500,0,1.25,1.42,1.67,0,333,16.67,0.66,50,0.635,0,0.83,0.99,0.737,20.9
08266,"CEREALS RTE,GENERAL MILLS,HONEY FRSTD WHEATIES",365,5.7,0.98,88,5,26,0.1,15,36,186,12.5,2500,0,1.25,1.42,1.67,0,333,16.67,0.354,50,0.385,0,0.25,0.16,0.234,31.4
08267,"CEREALS RTE,GENERAL MILLS,FRSTD CHEERIOS",382,6.57,3.32,85.12,5.2,108,0.19,15,60,194,12.5,2500,0,1.25,1.42,1.67,0,333,16.67,0.502,50,0.554,0,0.68,1.25,1.163,45.53
08268,"CEREALS RTE,GENERAL MILLS,FRANKENBY",390,3.26,1.71,90.9,0.6,82,0.08,15,9,53,12.5,0,0,1.25,1.42,1.67,0,333,16.67,0.118,50,0.275,0,0.29,0.53,0.203,48.5
08269,"CEREALS RTE,GENERAL MILLS,COUNTRY CORN FLAKES",380,6.1,1.68,86.53,1.5,178,0.1,27,24,135,12.5,2500,0,1.25,1.42,1.67,0,333,16.67,0.245,50,0.256,0,0.5,0.29,0.457,8.33
08270,"CEREALS RTE,GENERAL MILLS,COUNT CHOCULA",391,4.71,2.88,88.1,1.5,95,0.26,15,31,209,12.5,0,0,1.25,1.42,1.67,0,333,16.67,0.111,50,0.391,0,0.75,0.92,0.333,41.7
08271,"CEREALS RTE,GENERAL MILLS,COCOA PUFFS",396,3.8,3.01,89.05,0.6,110,0.14,15,22,174,12.5,0,0,1.25,1.42,1.67,0,333,16.67,0.113,50,0.456,0,0.68,1.16,0.378,45.9
08272,"CEREALS RTE,GENERAL MILLS,CINN TOAST CRUNCH",414,5.6,10.14,79.46,5,141,0.2,15,45,147,12.5,2500,0,1.25,1.42,1.67,0,333,16.67,0.778,50,0.929,0,1.67,3.1,1.999,35.6
08273,"CEREALS RTE,GENERAL MILLS,BOO BY",388,3.22,1.77,91.1,1.3,68,0.04,15,9,59,12.5,0,0,1.25,1.42,1.67,0,333,16.67,0.1,50,0.102,0,0.31,0.55,0.13,49.75
08274,"CEREALS RTE,GENERAL MILLS,BY BY KIX",400,4.36,3.87,87.1,0.6,220,0.08,15,19,79,12.5,2500,0,1.25,1.42,1.67,0,333,16.67,0.277,50,0.569,0,0.65,1.54,0.56,30
08275,"CEREALS RTE,GENERAL MILLS,NATURE VALLEY CINN&RAISINS GRANOLA",428,8.94,14,69.87,5.2,78,0.25,2.37,100,343,1.66,0,0,0.33,0.08,0.148,0,15,1.02,0.752,0,5.226,0,1.84,8.69,2.178,24.6
08276,"CEREALS RTE,GENERAL MILLS,NATURE VALLEY FRUIT N' NUT GRANOLA",460,10.65,20.3,62.3,6.1,83,0.34,3.09,101,352,1.97,0,0,0.35,0.17,0.121,0,18,1.17,0.779,0,10.647,0,3.47,12.86,2.569,22.7
